"","1-2","2-4","4-8","8-16","16-32","32-64","64-128","128-256","256-512","512-1024"
"1829",9968.12959649566,10379.4551010435,8830.46446249811,9340.69480209385,9381.80451851406,11240.924034803,11926.5275255286,11696.8473895126,12226.0836854777,10950.7476213943
"1830",9969.09376956907,10379.8453308943,8828.46446249811,9339.69480209385,9378.80451851406,11239.924034803,11924.5275255286,11696.8473895126,12226.0836854777,10949.7476213943
"1831",9969.09376956907,10378.2469683185,8837.56446249811,9347.94772306766,9376.80451851406,11236.924034803,11923.5275255286,11694.8473895126,12225.0836854777,10946.7476213943
"1832",9970.04532046419,10376.0066537178,8838.15983816541,9344.94772306766,9367.80451851406,11232.924034803,11918.5275255286,11688.8473895126,12223.0836854777,10945.7476213943
"1833",9968.37113640436,10383.5009224638,8849.24515906059,9354.25404410255,9363.80451851406,11222.924034803,11916.5275255286,11683.8473895126,12221.0836854777,10945.7476213943
"1834",9969.04165423536,10382.5519538408,8856.7127573845,9350.25404410255,9378.40803435277,11217.924034803,11909.5275255286,11679.8473895126,12219.0836854777,10943.7476213943
"1835",9969.04165423536,10382.5519538408,8856.7127573845,9350.25404410255,9378.40803435277,11217.924034803,11909.5275255286,11679.8473895126,12219.0836854777,10943.7476213943
"1836",9968.04165423536,10383.8594244188,8852.7127573845,9349.25404410255,9375.40803435277,11214.924034803,11906.5275255286,11678.8473895126,12218.0836854777,10943.7476213943
"1837",9968.91162575567,10379.8594244188,8853.97043499695,9346.25404410255,9371.40803435277,11208.924034803,11902.5275255286,11677.8473895126,12215.0836854777,10942.7476213943
"1838",9967.91162575567,10374.8594244188,8860.67043499695,9353.42978439219,9368.40803435277,11205.924034803,11898.5275255286,11674.8473895126,12212.0836854777,10938.7476213943
"1839",9967.85901410711,10372.8594244188,8858.67043499695,9364.92978439219,9382.90803435277,11202.924034803,11894.5275255286,11672.8473895126,12211.0836854777,10937.7476213943
"1840",9968.94718506746,10373.9949866664,8856.67043499695,9362.92978439219,9382.90803435277,11198.924034803,11889.5275255286,11666.8473895126,12206.0836854777,10933.7476213943
"1841",9967.94718506746,10369.9949866664,8862.47043499695,9378.86659153972,9406.33080921899,11196.924034803,11888.5275255286,11666.8473895126,12203.0836854777,10932.7476213943
"1842",9967.94718506746,10372.4988949049,8860.47043499695,9375.86659153972,9404.33080921899,11193.924034803,11884.5275255286,11664.8473895126,12202.0836854777,10932.7476213943
"1843",9966.94718506746,10372.5262560655,8861.47043499695,9373.86659153972,9402.33080921899,11190.924034803,11884.5275255286,11664.8473895126,12202.0836854777,10932.7476213943
"1844",9963.94718506746,10373.6174751405,8864.91304213337,9379.40066305616,9395.33080921899,11184.924034803,11877.5275255286,11661.8473895126,12201.0836854777,10931.7476213943
"1845",9963.94718506746,10372.2674751405,8859.91304213337,9383.00066305616,9392.33080921899,11181.924034803,11875.5275255286,11657.8473895126,12200.0836854777,10930.7476213943
"1846",9963.94718506746,10371.0965123908,8855.91304213337,9380.00066305616,9386.33080921899,11175.924034803,11874.5275255286,11656.8473895126,12199.0836854777,10929.7476213943
"1847",9963.61718506746,10370.0965123908,8854.91304213337,9378.00066305616,9405.44375879644,11174.924034803,11873.5275255286,11656.8473895126,12199.0836854777,10929.7476213943
"1848",9963.61718506746,10368.0965123908,8861.40566141537,9376.00066305616,9404.44375879644,11171.924034803,11870.5275255286,11656.8473895126,12198.0836854777,10929.7476213943
"1849",9963.40990303795,10365.0965123908,8861.40566141537,9375.00066305616,9404.44375879644,11168.924034803,11868.5275255286,11655.8473895126,12198.0836854777,10929.7476213943
"1850",9963.20999173929,10365.355177304,8859.40566141537,9372.00066305616,9403.44375879644,11167.924034803,11866.5275255286,11654.8473895126,12197.0836854777,10928.7476213943
"1851",9963.46999173929,10367.155177304,8857.40566141537,9371.00066305616,9400.44375879644,11165.924034803,11864.5275255286,11651.8473895126,12197.0836854777,10928.7476213943
"1852",9962.46999173929,10367.355177304,8853.40566141537,9369.00066305616,9396.44375879644,11161.924034803,11861.5275255286,11850.54716527,12196.0836854777,10925.7476213943
"1853",9962.46999173929,10363.355177304,8856.00566141537,9375.44529775016,9394.44375879644,11160.924034803,11861.5275255286,11850.54716527,12196.0836854777,10925.7476213943
"1854",9962.46999173929,10373.325177304,8852.00566141537,9374.44529775016,9393.44375879644,11159.924034803,11858.5275255286,11848.54716527,12194.0836854777,10923.7476213943
"1855",9962.46999173929,10373.325177304,8852.00566141537,9374.44529775016,9393.44375879644,11159.924034803,11858.5275255286,11848.54716527,12194.0836854777,10923.7476213943
"1856",9962.46999173929,10371.325177304,8849.00566141537,9386.94529775016,9390.44375879644,11156.924034803,11857.5275255286,11846.54716527,12193.0836854777,10922.7476213943
"1857",9961.73999173929,10369.325177304,8850.11915776197,9382.94529775016,9388.44375879644,11154.924034803,11852.5275255286,11845.54716527,12192.0836854777,10922.7476213943
"1858",9960.73999173929,10368.8776343442,8848.11915776197,9391.47767901078,9386.44375879644,11151.924034803,11852.5275255286,12032.54716527,12190.0836854777,10919.7476213943
"1859",9960.73999173929,10370.2816629724,8848.11915776197,9391.47767901078,9385.44375879644,11146.924034803,11851.5275255286,12031.54716527,12190.0836854777,10919.7476213943
"1860",9960.34999173929,10367.2816629724,8848.11915776197,9402.64374221434,9384.44375879644,11145.924034803,11850.5275255286,12030.54716527,12190.0836854777,10919.7476213943
"1861",9960.97999173929,10368.0713984214,8852.31915776197,9401.64374221434,9381.44375879644,11145.924034803,11847.5275255286,12027.54716527,12189.0836854777,10919.7476213943
"1862",9960.97999173929,10368.6010560688,8851.31915776197,9399.64374221434,9378.44375879644,11143.924034803,11847.5275255286,12025.54716527,12189.0836854777,10918.7476213943
"1863",9960.77999173929,10367.5693865163,8858.31915776197,9404.44374221433,9396.44375879644,11142.924034803,11842.5275255286,12024.54716527,12187.0836854777,10916.7476213943
"1864",9959.77999173929,10364.8469954011,8856.31915776197,9411.80265898681,9395.44375879644,11139.924034803,11839.5275255286,12024.54716527,12186.0836854777,10916.7476213943
"1865",9960.49273869448,10361.971125561,8855.61915776197,9416.80265898681,9391.44375879644,11136.924034803,11834.5275255286,12021.54716527,12185.0836854777,10916.7476213943
"1866",9960.49273869448,10361.971125561,8855.61915776197,9416.80265898681,9391.44375879644,11136.924034803,11834.5275255286,12021.54716527,12185.0836854777,10916.7476213943
"1867",9960.49273869448,10361.971125561,8855.61915776197,9416.80265898681,9391.44375879644,11136.924034803,11834.5275255286,12021.54716527,12185.0836854777,10916.7476213943
"1868",9961.40273869448,10362.621125561,8852.61915776197,9415.80265898681,9390.44375879644,11135.924034803,11832.5275255286,12020.54716527,12184.0836854777,10916.7476213943
"1869",9961.80273869448,10371.5335963598,8850.61915776197,9413.80265898681,9387.44375879644,11128.924034803,11827.5275255286,12015.54716527,12182.0836854777,10916.7476213943
"1870",9961.80273869448,10372.3557689738,8849.61915776197,9412.80265898681,9387.44375879644,11125.924034803,11824.5275255286,12013.54716527,12181.0836854777,10915.7476213943
"1871",9961.80273869448,10371.3557689738,8848.61915776197,9410.80265898681,9386.44375879644,11122.924034803,11822.5275255286,12012.54716527,12177.0836854777,10915.7476213943
"1872",9961.80273869448,10371.3557689738,8848.61915776197,9410.80265898681,9386.44375879644,11122.924034803,11822.5275255286,12012.54716527,12177.0836854777,10915.7476213943
"1873",9961.80273869448,10371.3557689738,8848.61915776197,9410.80265898681,9386.44375879644,11122.924034803,11822.5275255286,12012.54716527,12177.0836854777,10915.7476213943
"1874",9960.80273869448,10372.4565842426,8853.41915776197,9410.80265898681,9385.44375879644,11122.924034803,11821.5275255286,12012.54716527,12176.0836854777,10915.7476213943
"1875",9961.43610898559,10369.4565842426,8851.41915776197,9409.80265898681,9383.44375879644,11122.924034803,11821.5275255286,12010.54716527,12175.0836854777,10915.7476213943
"1876",9961.43610898559,10368.6765842426,8850.41915776197,9406.80265898681,9382.44375879644,11121.924034803,11818.5275255286,12010.54716527,12174.0836854777,10914.7476213943
"1877",9962.16874326541,10369.7468045174,8848.41915776197,9402.80265898681,9376.44375879644,11115.924034803,11814.5275255286,12007.54716527,12171.0836854777,10913.7476213943
"1878",9962.16874326541,10369.7468045174,8848.41915776197,9402.80265898681,9376.44375879644,11115.924034803,11814.5275255286,12007.54716527,12171.0836854777,10913.7476213943
"1879",9962.16874326541,10369.7468045174,8848.41915776197,9402.80265898681,9376.44375879644,11115.924034803,11814.5275255286,12007.54716527,12171.0836854777,10913.7476213943
"1880",9962.16874326541,10368.8468045174,8847.41915776197,9402.80265898681,9373.44375879644,11113.924034803,11811.5275255286,12006.54716527,12170.0836854777,10912.7476213943
"1881",9962.16874326541,10367.4238860466,8850.36889805059,9402.80265898681,9372.44375879644,11113.924034803,11809.5275255286,12005.54716527,12169.0836854777,10912.7476213943
"1882",9962.16874326541,10367.4238860466,8850.36889805059,9402.80265898681,9372.44375879644,11113.924034803,11809.5275255286,12005.54716527,12169.0836854777,10912.7476213943
"1883",9963.33377454806,10366.6093189356,8848.36889805059,9401.80265898681,9370.44375879644,11111.924034803,11804.5275255286,12003.54716527,12168.0836854777,10912.7476213943
"1884",9963.33377454806,10366.6093189356,8848.36889805059,9401.80265898681,9370.44375879644,11111.924034803,11804.5275255286,12003.54716527,12168.0836854777,10912.7476213943
"1885",9963.33377454806,10366.6093189356,8848.36889805059,9401.80265898681,9370.44375879644,11111.924034803,11804.5275255286,12003.54716527,12168.0836854777,10912.7476213943
"1886",9963.33377454806,10366.6093189356,8848.36889805059,9401.80265898681,9370.44375879644,11111.924034803,11804.5275255286,12003.54716527,12168.0836854777,10912.7476213943
"1887",9963.33377454806,10366.6093189356,8848.36889805059,9401.80265898681,9370.44375879644,11111.924034803,11804.5275255286,12003.54716527,12168.0836854777,10912.7476213943
"1888",9963.60983967539,10369.0093189356,8852.25213306776,9400.80265898681,9369.44375879644,11108.924034803,11803.5275255286,12001.54716527,12167.0836854777,10911.7476213943
"1889",9963.60983967539,10369.0093189356,8852.25213306776,9400.80265898681,9369.44375879644,11108.924034803,11803.5275255286,12001.54716527,12167.0836854777,10911.7476213943
"1890",9963.60983967539,10369.0093189356,8852.25213306776,9400.80265898681,9369.44375879644,11108.924034803,11803.5275255286,12001.54716527,12167.0836854777,10911.7476213943
"1891",9963.60983967539,10369.0093189356,8852.25213306776,9400.80265898681,9369.44375879644,11108.924034803,11803.5275255286,12001.54716527,12167.0836854777,10911.7476213943
"1892",9963.60983967539,10368.8749932942,8854.35166604052,9399.80265898681,9368.44375879644,11103.924034803,11798.5275255286,11998.54716527,12167.0836854777,10909.7476213943
"1893",9962.06602411959,10371.3349932942,8858.55166604052,9397.80265898681,9368.44375879644,11101.924034803,11795.5275255286,11997.54716527,12166.0836854777,10909.7476213943
"1894",9959.78675342001,10370.3349932942,8857.55166604052,9397.80265898681,9365.44375879644,11096.924034803,11877.2075842531,11996.54716527,12165.0836854777,10908.7476213943
"1895",9959.78675342001,10370.3349932942,8857.55166604052,9397.80265898681,9365.44375879644,11096.924034803,11877.2075842531,11996.54716527,12165.0836854777,10908.7476213943
"1896",9958.78675342001,10369.5949932942,8855.55166604052,9404.54748000281,9364.44375879644,11094.924034803,11875.2075842531,11995.54716527,12163.0836854777,10908.7476213943
"1897",9957.78675342001,10367.5949932942,8861.57175583952,9403.54748000281,9362.44375879644,11092.924034803,11874.2075842531,11994.54716527,12163.0836854777,10908.7476213943
"1898",9957.78675342001,10367.5949932942,8861.57175583952,9403.54748000281,9362.44375879644,11092.924034803,11874.2075842531,11994.54716527,12163.0836854777,10908.7476213943
"1899",9958.25675342001,10368.9490057136,8859.57175583952,9402.54748000281,9361.44375879644,11090.924034803,11870.2075842531,11991.54716527,12161.0836854777,10908.7476213943
"1900",9958.25675342001,10368.9490057136,8859.57175583952,9402.54748000281,9361.44375879644,11090.924034803,11870.2075842531,11991.54716527,12161.0836854777,10908.7476213943
"1901",9958.25675342001,10368.9490057136,8859.57175583952,9402.54748000281,9361.44375879644,11090.924034803,11870.2075842531,11991.54716527,12161.0836854777,10908.7476213943
"1902",9958.25675342001,10368.9490057136,8859.57175583952,9402.54748000281,9361.44375879644,11090.924034803,11870.2075842531,11991.54716527,12161.0836854777,10908.7476213943
